epoch avg_male_fail avg_fem_fail avg_total_fail
343	3	257	260
341	4	254	258
332	3	255	258
340	3	253	256
355	3	256	259
385	3	251	254
366	3	255	258
358	3	252	255
351	3	255	258
356	2	252	254
361	3	252	255
354	3	253	256
362	3	255	258
384	3	254	257
383	3	252	255
379	2	255	257
370	3	254	257
388	3	252	255
399	3	251	254
353	3	253	256
363	3	257	260
367	3	254	257
371	3	254	257
372	3	254	257
393	3	252	255
374	2	253	255
390	3	255	258
386	3	253	256
376	3	252	255
382	2	254	256
357	3	255	258
395	3	250	253
364	3	254	257
360	3	253	256
359	2	253	255
398	3	254	257
380	2	252	254
397	3	253	256
378	3	253	256
387	3	253	256
369	3	253	256
368	3	255	258
375	3	254	257
392	2	254	256
389	3	251	254
377	3	253	256
373	3	251	254
352	3	256	259
365	3	255	258
396	2	250	252
394	3	252	255
391	3	253	256
381	3	253	256
400	3	255	258
402	3	256	259
413	2	254	256
406	3	249	252
425	2	253	255
418	2	251	253
408	3	250	253
428	2	253	255
417	2	255	257
405	2	255	257
407	2	252	254
443	2	250	252
403	2	251	253
440	2	253	255
423	2	250	252
419	2	250	252
430	3	253	256
450	3	254	257
431	2	253	255
412	2	253	255
401	3	252	255
404	3	254	257
416	2	253	255
438	2	251	253
429	2	254	256
421	2	252	254
424	3	252	255
435	3	252	255
433	2	252	254
426	3	254	257
445	3	248	251
446	2	254	256
449	3	250	253
411	3	251	254
432	2	251	253
427	2	250	252
434	2	251	253
409	3	251	254
414	2	255	257
437	3	251	254
444	2	252	254
436	3	253	256
447	2	250	252
442	2	250	252
410	3	250	253
422	2	253	255
420	2	253	255
439	2	253	255
415	3	251	254
448	3	251	254
441	2	252	254
465	3	253	256
479	3	250	253
463	3	255	258
462	3	252	255
470	2	251	253
453	3	249	252
451	2	251	253
493	2	250	252
452	3	250	253
459	2	252	254
460	3	251	254
468	2	250	252
461	2	251	253
480	2	250	252
464	2	253	255
454	2	255	257
481	3	253	256
486	2	251	253
498	2	250	252
469	3	251	254
473	3	251	254
488	2	250	252
490	3	250	253
455	3	252	255
472	3	252	255
475	2	250	252
484	2	253	255
476	3	252	255
497	2	249	251
467	3	249	252
456	3	250	253
458	2	254	256
495	2	251	253
494	2	251	253
489	2	252	254
500	2	250	252
482	2	251	253
478	2	251	253
485	2	246	248
492	2	251	253
496	2	250	252
477	3	251	254
457	2	250	252
487	2	250	252
499	3	250	253
474	3	252	255
471	3	252	255
491	2	252	254
483	2	251	253
466	2	251	253
